[SYS] 2026/01/21 - 01:24:19 | initializing token encoders 
[SYS] 2026/01/21 - 01:24:19 | token encoders initialized 
[SYS] 2026/01/21 - 01:24:19 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/01/21 - 01:24:19 | database migration started 
[SYS] 2026/01/21 - 01:24:19 | system is already initialized at: 2025-11-26 23:18:46 +0800 CST 
[SYS] 2026/01/21 - 01:24:19 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/01/21 - 01:24:19 | New API v0.9.25 started 
[SYS] 2026/01/21 - 01:24:19 | 正在更新数据看板数据... 
[SYS] 2026/01/21 - 01:24:19 | 保存数据看板数据成功，共保存0条数据 

  [32mNew API v0.9.25[0m  ready in 716 ms

  ➜  [1mNetwork:[0m http://172.17.0.2:3000/

[SYS] 2026/01/21 - 01:24:35 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:24:35 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:24:50 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:24:50 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:25:05 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:25:05 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:25:20 | syncing options from database 
[SYS] 2026/01/21 - 01:25:20 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:25:20 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:25:35 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:25:35 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:25:50 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:25:50 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:26:05 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:26:05 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:26:20 | syncing options from database 
[SYS] 2026/01/21 - 01:26:20 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:26:20 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:26:35 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:26:35 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:26:50 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:26:50 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:27:05 | 任务进度轮询开始 
[SYS] 2026/01/21 - 01:27:05 | 任务进度轮询完成 
[SYS] 2026/01/21 - 01:27:20 | syncing options from database 
